Item number,SKU Size,Parent Bulk Item Number,Product name,GFS_ReasonName,Item in Catalog,Show pricing to web,Parent Bulk Item Site,GFS Express,Search name,Production type,Brand,CAS #,DEA Controlled,Hazardous,Hazard Class,Product service type,Packing Group,Visible in webshop
85160,1 L,8039,"AMCO CLEAR TURBIDITY STANDARD, 180 NTU for HACH 18900 INSTRUMENT",,Yes,Yes,25,No,"180 NTU, Amco Clear Turbidity Standard, For Hach 18900 Instrument",BOM,AMCO,,No,No,,Not specified,,Yes
85161,250 ML,8039,"AMCO CLEAR TURBIDITY STANDARD, 180 NTU for HACH 18900 INSTRUMENT",,Yes,Yes,25,No,"180 NTU, Amco Clear Turbidity Standard, For Hach 18900 Instrument",BOM,AMCO,,No,No,,Not specified,,Yes
85162,500 ML,8039,"AMCO CLEAR TURBIDITY STANDARD, 180 NTU for HACH 18900 INSTRUMENT",,Yes,Yes,25,No,"180 NTU, Amco Clear Turbidity Standard, For Hach 18900 Instrument",BOM,AMCO,,No,No,,Not specified,,Yes
85166,1 L,8041,"AMCO CLEAR TURBIDITY STANDARD, 1800 NTU for HACH 43900XR",,Yes,Yes,25,No,"1800 NTU, Hach, Amco Clear Turbidity Standard, For Hach 43900XR",BOM,AMCO,,No,No,,Not specified,,Yes
85168,500 ML,8041,"AMCO CLEAR TURBIDITY STANDARD, 1800 NTU for HACH 43900XR",,Yes,Yes,25,No,"1800 NTU, Hach, Amco Clear Turbidity Standard, For Hach 43900XR",BOM,AMCO,,No,No,,Not specified,,Yes
85169,250 ML,8042,"AMCO CLEAR TURBIDITY STANDARD, 0.5 EBC",,Yes,Yes,25,No,"0.5 EBC, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
8517,BULK L,8517,"AMCO CLEAR TURBIDITY STANDARD, 800 NTU for HORIBA W-22",,Yes,No,25,No,"800 NTU, Horiba W-22, Amco Clear Turbidity Standard",Formula,AMCO,,No,No,,Not specified,,Yes
85170,1 L,8043,"AMCO CLEAR TURBIDITY STANDARD, 1.0 EBC",,Yes,Yes,25,No,"1.0 EBC, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85171,250 ML,8043,"AMCO CLEAR TURBIDITY STANDARD, 1.0 EBC",,Yes,Yes,25,No,"1.0 EBC, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85172,1 L,8044,"AMCO CLEAR TURBIDITY STANDARD, 2.5 EBC",,Yes,Yes,25,No,"2.5 EBC, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85173,250 ML,8044,"AMCO CLEAR TURBIDITY STANDARD, 2.5 EBC",,Yes,Yes,25,No,"2.5 EBC, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85174,250 ML,8045,"AMCO CLEAR TURBIDITY STANDARD, 10 EBC",,Yes,Yes,25,No,"10 EBC, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85175,1 L,8046,"AMCO CLEAR TURBIDITY STANDARD, 5 EBC",,Yes,Yes,25,No,"5 EBC, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85176,250 ML,8046,"AMCO CLEAR TURBIDITY STANDARD, 5 EBC",,Yes,Yes,25,No,"5 EBC, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
85177,250 ML,8047,"AMCO CLEAR TURBIDITY STANDARD, 25 EBC",,Yes,Yes,25,No,"25 EBC, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
8518,BULK L,8518,"AMCO CLEAR TURBIDITY STANDARD, 8 NTU for HORIBA U-53",,Yes,No,25,No,"8 NTU, Horiba U-53, Amco Clear Turbidity Standard",Formula,AMCO,,No,No,,Not specified,,Yes
85180,SS HF,8000,"AMCO CLEAR TURBIDITY STANDARD, 0.0 NTU",,Yes,Yes,25,No,"0.0 NTU, Amco Clear Turbidity Standard",BOM,AMCO,,No,No,,Not specified,,Yes
